year,crime_code,crime_count
2019,9,4671.0
2024,10,5702.0
2023,10,5706.0
2022,10,5479.0
2021,10,5747.0
2020,10,5673.0
2019,10,4428.0
2024,11,45.0
2023,11,35.0
2022,11,11.0
2021,11,22.0
2020,11,9.0
2019,11,24.0
2024,12,1099.0
2023,12,1072.0
2022,12,983.0
2021,12,848.0
2020,12,871.0
2019,12,1004.0
2024,TOTAL,399088.0
2023,TOTAL,411782.0
2022,TOTAL,401924.0
2021,TOTAL,345987.0
2020,TOTAL,310194.0
2019,TOTAL,407736.0
