year,municipality_name,is_region,crime_code,crime_count
2019,ALGETE,False,CYBER_OTHER,15.0
2019,ALGETE,False,TOTAL,771.0
2019,ARANJUEZ,False,CONVENTIONAL,2097.0
2019,ARANJUEZ,False,HOM_COMPLETED,2.0
2019,ARANJUEZ,False,HOM_ATTEMPTED,2.0
2019,ARANJUEZ,False,INJURY,14.0
2019,ARANJUEZ,False,KIDNAPPING,0.0
2019,ARANJUEZ,False,SEXUAL,12.0
2019,ARANJUEZ,False,SEXUAL_PENETRATION,1.0
2019,ARANJUEZ,False,SEXUAL_OTHER,11.0
2019,ARANJUEZ,False,ROBBERY_VIOLENT,32.0
2019,ARANJUEZ,False,BURGLARY,122.0
2019,ARANJUEZ,False,BURGLARY_DWELLING,66.0
2019,ARANJUEZ,False,THEFT,547.0
2019,ARANJUEZ,False,VEHICLE_THEFT,53.0
2019,ARANJUEZ,False,DRUG_TRAFFICKING,13.0
2019,ARANJUEZ,False,OTHER_CONVENTIONAL,1300.0
2019,ARANJUEZ,False,CYBERCRIME,206.0
2019,ARANJUEZ,False,CYBER_FRAUD,188.0
2019,ARANJUEZ,False,CYBER_OTHER,18.0
2019,ARANJUEZ,False,TOTAL,2303.0
2019,ARGANDA DEL REY,False,CONVENTIONAL,3156.0
2019,ARGANDA DEL REY,False,HOM_COMPLETED,0.0
2019,ARGANDA DEL REY,False,HOM_ATTEMPTED,0.0
2019,ARGANDA DEL REY,False,INJURY,47.0
2019,ARGANDA DEL REY,False,KIDNAPPING,0.0
2019,ARGANDA DEL REY,False,SEXUAL,16.0
2019,ARGANDA DEL REY,False,SEXUAL_PENETRATION,2.0
2019,ARGANDA DEL REY,False,SEXUAL_OTHER,14.0
2019,ARGANDA DEL REY,False,ROBBERY_VIOLENT,185.0
2019,ARGANDA DEL REY,False,BURGLARY,141.0
2019,ARGANDA DEL REY,False,BURGLARY_DWELLING,71.0
2019,ARGANDA DEL REY,False,THEFT,1129.0
2019,ARGANDA DEL REY,False,VEHICLE_THEFT,26.0
2019,ARGANDA DEL REY,False,DRUG_TRAFFICKING,16.0
2019,ARGANDA DEL REY,False,OTHER_CONVENTIONAL,1596.0
2019,ARGANDA DEL REY,False,CYBERCRIME,137.0
2019,ARGANDA DEL REY,False,CYBER_FRAUD,118.0
2019,ARGANDA DEL REY,False,CYBER_OTHER,19.0
2019,ARGANDA DEL REY,False,TOTAL,3293.0
2019,ARROYOMOLINOS,False,CONVENTIONAL,2672.0
2019,ARROYOMOLINOS,False,HOM_COMPLETED,0.0
2019,ARROYOMOLINOS,False,HOM_ATTEMPTED,0.0
2019,ARROYOMOLINOS,False,INJURY,7.0
2019,ARROYOMOLINOS,False,KIDNAPPING,0.0
2019,ARROYOMOLINOS,False,SEXUAL,18.0
2019,ARROYOMOLINOS,False,SEXUAL_PENETRATION,1.0
2019,ARROYOMOLINOS,False,SEXUAL_OTHER,17.0
2019,ARROYOMOLINOS,False,ROBBERY_VIOLENT,32.0
2019,ARROYOMOLINOS,False,BURGLARY,90.0
2019,ARROYOMOLINOS,False,BURGLARY_DWELLING,61.0
2019,ARROYOMOLINOS,False,THEFT,1621.0
2019,ARROYOMOLINOS,False,VEHICLE_THEFT,52.0
2019,ARROYOMOLINOS,False,DRUG_TRAFFICKING,2.0
2019,ARROYOMOLINOS,False,OTHER_CONVENTIONAL,850.0
2019,ARROYOMOLINOS,False,CYBERCRIME,214.0
2019,ARROYOMOLINOS,False,CYBER_FRAUD,171.0
