year,crime_code,age,sex,count
2019,5,65+,F,275.0
2019,5.1,14-17,M,753.0
2019,5.1,14-17,F,457.0
2019,5.1,18-30,M,4634.0
2019,5.1,18-30,F,2979.0
2019,5.1,31-40,M,3506.0
2019,5.1,31-40,F,1728.0
2019,5.1,41-64,M,3148.0
2019,5.1,41-64,F,1961.0
2019,5.1,65+,M,325.0
2019,5.1,65+,F,242.0
2019,5.2,14-17,M,372.0
2019,5.2,14-17,F,16.0
2019,5.2,18-30,M,1524.0
2019,5.2,18-30,F,127.0
2019,5.2,31-40,M,923.0
2019,5.2,31-40,F,102.0
2019,5.2,41-64,M,603.0
2019,5.2,41-64,F,50.0
2019,5.2,65+,M,23.0
2019,5.2,65+,F,1.0
2019,5.2.1,14-17,M,102.0
2019,5.2.1,14-17,F,2.0
2019,5.2.1,18-30,M,433.0
2019,5.2.1,18-30,F,19.0
2019,5.2.1,31-40,M,296.0
2019,5.2.1,31-40,F,24.0
2019,5.2.1,41-64,M,195.0
2019,5.2.1,41-64,F,9.0
2019,5.2.1,65+,M,8.0
2019,5.2.1,65+,F,0.0
2019,5.2.2,14-17,M,77.0
2019,5.2.2,14-17,F,7.0
2019,5.2.2,18-30,M,417.0
2019,5.2.2,18-30,F,64.0
2019,5.2.2,31-40,M,172.0
2019,5.2.2,31-40,F,22.0
2019,5.2.2,41-64,M,139.0
2019,5.2.2,41-64,F,24.0
2019,5.2.2,65+,M,7.0
2019,5.2.2,65+,F,1.0
2019,5.2.3,14-17,M,98.0
2019,5.2.3,14-17,F,2.0
2019,5.2.3,18-30,M,378.0
2019,5.2.3,18-30,F,20.0
2019,5.2.3,31-40,M,276.0
2019,5.2.3,31-40,F,26.0
2019,5.2.3,41-64,M,125.0
2019,5.2.3,41-64,F,8.0
2019,5.2.3,65+,M,3.0
2019,5.2.3,65+,F,0.0
2019,5.3,14-17,M,1148.0
2019,5.3,14-17,F,107.0
2019,5.3,18-30,M,1540.0
2019,5.3,18-30,F,175.0
2019,5.3,31-40,M,480.0
2019,5.3,31-40,F,74.0
2019,5.3,41-64,M,372.0
2019,5.3,41-64,F,57.0
2019,5.3,65+,M,11.0
2019,5.3,65+,F,1.0
2019,5.3.1,14-17,M,842.0
2019,5.3.1,14-17,F,87.0
2019,5.3.1,18-30,M,1082.0
2019,5.3.1,18-30,F,95.0
2019,5.3.1,31-40,M,268.0
2019,5.3.1,31-40,F,31.0
2019,5.3.1,41-64,M,182.0
2019,5.3.1,41-64,F,20.0
2019,5.3.1,65+,M,2.0
2019,5.3.1,65+,F,0.0
2019,5.3.2,14-17,M,9.0
2019,5.3.2,14-17,F,0.0
2019,5.3.2,18-30,M,50.0
2019,5.3.2,18-30,F,13.0
2019,5.3.2,31-40,M,31.0
2019,5.3.2,31-40,F,5.0
2019,5.3.2,41-64,M,18.0
2019,5.3.2,41-64,F,2.0
2019,5.3.2,65+,M,1.0
2019,5.3.2,65+,F,0.0
2019,5.3.3,14-17,M,91.0
2019,5.3.3,14-17,F,8.0
2019,5.3.3,18-30,M,227.0
2019,5.3.3,18-30,F,51.0
2019,5.3.3,31-40,M,144.0
2019,5.3.3,31-40,F,32.0
2019,5.3.3,41-64,M,142.0
2019,5.3.3,41-64,F,29.0
2019,5.3.3,65+,M,8.0
2019,5.3.3,65+,F,1.0
2019,5.4,14-17,M,84.0
2019,5.4,14-17,F,0.0
2019,5.4,18-30,M,220.0
2019,5.4,18-30,F,21.0
2019,5.4,31-40,M,177.0
2019,5.4,31-40,F,16.0
2019,5.4,41-64,M,165.0
2019,5.4,41-64,F,17.0
2019,5.4,65+,M,4.0
2019,5.4,65+,F,0.0
2019,5.5,14-17,M,26.0
2019,5.5,14-17,F,9.0
2019,5.5,18-30,M,719.0
2019,5.5,18-30,F,304.0
2019,5.5,31-40,M,483.0
2019,5.5,31-40,F,173.0
2019,5.5,41-64,M,535.0
2019,5.5,41-64,F,223.0
2019,5.5,65+,M,47.0
2019,5.5,65+,F,16.0
2019,5.5.1,14-17,M,4.0
2019,5.5.1,14-17,F,0.0
2019,5.5.1,18-30,M,262.0
2019,5.5.1,18-30,F,116.0
2019,5.5.1,31-40,M,131.0
2019,5.5.1,31-40,F,36.0
2019,5.5.1,41-64,M,100.0
2019,5.5.1,41-64,F,53.0
2019,5.5.1,65+,M,12.0
2019,5.5.1,65+,F,2.0
2019,5.6,14-17,M,125.0
2019,5.6,14-17,F,8.0
2019,5.6,18-30,M,410.0
2019,5.6,18-30,F,45.0
2019,5.6,31-40,M,157.0
2019,5.6,31-40,F,33.0
2019,5.6,41-64,M,175.0
2019,5.6,41-64,F,38.0
2019,5.6,65+,M,22.0
2019,5.6,65+,F,6.0
2019,5.7,14-17,M,1.0
2019,5.7,14-17,F,0.0
2019,5.7,18-30,M,23.0
2019,5.7,18-30,F,6.0
2019,5.7,31-40,M,60.0
2019,5.7,31-40,F,8.0
2019,5.7,41-64,M,63.0
2019,5.7,41-64,F,4.0
2019,5.7,65+,M,2.0
2019,5.7,65+,F,0.0
2019,5.8,14-17,M,0.0
2019,5.8,14-17,F,0.0
2019,5.8,18-30,M,5.0
2019,5.8,18-30,F,6.0
2019,5.8,31-40,M,10.0
2019,5.8,31-40,F,5.0
2019,5.8,41-64,M,31.0
2019,5.8,41-64,F,10.0
2019,5.8,65+,M,2.0
2019,5.8,65+,F,2.0
2019,5.9,14-17,M,80.0
2019,5.9,14-17,F,14.0
2019,5.9,18-30,M,600.0
2019,5.9,18-30,F,226.0
2019,5.9,31-40,M,347.0
2019,5.9,31-40,F,131.0
2019,5.9,41-64,M,336.0
2019,5.9,41-64,F,136.0
2019,5.9,65+,M,33.0
2019,5.9,65+,F,7.0
2019,6,14-17,M,198.0
2019,6,14-17,F,17.0
2019,6,18-30,M,2437.0
2019,6,18-30,F,282.0
2019,6,31-40,M,1880.0
2019,6,31-40,F,187.0
2019,6,41-64,M,2009.0
2019,6,41-64,F,219.0
2019,6,65+,M,82.0
2019,6,65+,F,12.0
2019,6.1,14-17,M,125.0
2019,6.1,14-17,F,14.0
2019,6.1,18-30,M,1177.0
2019,6.1,18-30,F,139.0
2019,6.1,31-40,M,655.0
2019,6.1,31-40,F,82.0
2019,6.1,41-64,M,620.0
2019,6.1,41-64,F,97.0
2019,6.1,65+,M,30.0
2019,6.1,65+,F,6.0
2019,6.2,14-17,M,47.0
2019,6.2,14-17,F,2.0
2019,6.2,18-30,M,1194.0
2019,6.2,18-30,F,130.0
2019,6.2,31-40,M,1193.0
2019,6.2,31-40,F,99.0
2019,6.2,41-64,M,1349.0
2019,6.2,41-64,F,109.0
2019,6.2,65+,M,50.0
2019,6.2,65+,F,6.0
2019,6.3,14-17,M,26.0
2019,6.3,14-17,F,1.0
2019,6.3,18-30,M,66.0
2019,6.3,18-30,F,13.0
2019,6.3,31-40,M,32.0
2019,6.3,31-40,F,6.0
2019,6.3,41-64,M,40.0
2019,6.3,41-64,F,13.0
2019,6.3,65+,M,2.0
2019,6.3,65+,F,0.0
2019,7,14-17,M,23.0
2019,7,14-17,F,9.0
2019,7,18-30,M,573.0
2019,7,18-30,F,194.0
2019,7,31-40,M,438.0
2019,7,31-40,F,140.0
2019,7,41-64,M,356.0
2019,7,41-64,F,128.0
2019,7,65+,M,18.0
2019,7,65+,F,10.0
2019,8,14-17,M,0.0
2019,8,14-17,F,0.0
2019,8,18-30,M,3.0
2019,8,18-30,F,0.0
2019,8,31-40,M,7.0
2019,8,31-40,F,1.0
2019,8,41-64,M,38.0
2019,8,41-64,F,9.0
2019,8,65+,M,9.0
2019,8,65+,F,4.0
2019,9,14-17,M,26.0
