measure,year,crime_code,name_en,level,age,sex,cases,is_age_total,comparable_band,share,rate_per_10000
victims,2019,1.2,Bodily injury,2,65+,U,2,f,t,0.000143,
victims,2019,1.2,Bodily injury,2,U,M,27,f,f,0.001932,
victims,2019,1.2,Bodily injury,2,U,F,8,f,f,0.000572,
victims,2019,1.2,Bodily injury,2,U,U,5,f,f,0.000358,
victims,2019,1.3,Domestic violence in the family setting,2,0-13,M,254,f,f,0.016988,
victims,2019,1.3,Domestic violence in the family setting,2,0-13,F,211,f,f,0.014112,
victims,2019,1.3,Domestic violence in the family setting,2,0-13,U,0,f,f,0.000000,
victims,2019,1.3,Domestic violence in the family setting,2,14-17,M,121,f,t,0.008093,
victims,2019,1.3,Domestic violence in the family setting,2,14-17,F,384,f,t,0.025682,
victims,2019,1.3,Domestic violence in the family setting,2,14-17,U,1,f,t,0.000067,
victims,2019,1.3,Domestic violence in the family setting,2,18-30,M,688,f,t,0.046014,
victims,2019,1.3,Domestic violence in the family setting,2,18-30,F,3860,f,t,0.258159,
victims,2019,1.3,Domestic violence in the family setting,2,18-30,U,6,f,t,0.000401,
victims,2019,1.3,Domestic violence in the family setting,2,31-40,M,585,f,t,0.039125,
victims,2019,1.3,Domestic violence in the family setting,2,31-40,F,3583,f,t,0.239633,
victims,2019,1.3,Domestic violence in the family setting,2,31-40,U,11,f,t,0.000736,
victims,2019,1.3,Domestic violence in the family setting,2,41-64,M,971,f,t,0.064941,
victims,2019,1.3,Domestic violence in the family setting,2,41-64,F,3615,f,t,0.241774,
victims,2019,1.3,Domestic violence in the family setting,2,41-64,U,6,f,t,0.000401,
victims,2019,1.3,Domestic violence in the family setting,2,65+,M,188,f,t,0.012574,
victims,2019,1.3,Domestic violence in the family setting,2,65+,F,447,f,t,0.029896,
victims,2019,1.3,Domestic violence in the family setting,2,65+,U,0,f,t,0.000000,
victims,2019,1.3,Domestic violence in the family setting,2,U,M,12,f,f,0.000803,
victims,2019,1.3,Domestic violence in the family setting,2,U,F,9,f,f,0.000602,
victims,2019,1.3,Domestic violence in the family setting,2,U,U,0,f,f,0.000000,
victims,2019,1.4,Other offences against persons,2,0-13,M,15,f,f,0.027881,
victims,2019,1.4,Other offences against persons,2,0-13,F,14,f,f,0.026022,
victims,2019,1.4,Other offences against persons,2,0-13,U,0,f,f,0.000000,
victims,2019,1.4,Other offences against persons,2,14-17,M,12,f,t,0.022305,
victims,2019,1.4,Other offences against persons,2,14-17,F,11,f,t,0.020446,
victims,2019,1.4,Other offences against persons,2,14-17,U,0,f,t,0.000000,
victims,2019,1.4,Other offences against persons,2,18-30,M,65,f,t,0.120818,
victims,2019,1.4,Other offences against persons,2,18-30,F,67,f,t,0.124535,
victims,2019,1.4,Other offences against persons,2,18-30,U,1,f,t,0.001859,
victims,2019,1.4,Other offences against persons,2,31-40,M,52,f,t,0.096654,
victims,2019,1.4,Other offences against persons,2,31-40,F,43,f,t,0.079926,
victims,2019,1.4,Other offences against persons,2,31-40,U,0,f,t,0.000000,
victims,2019,1.4,Other offences against persons,2,41-64,M,126,f,t,0.234201,
victims,2019,1.4,Other offences against persons,2,41-64,F,91,f,t,0.169145,
victims,2019,1.4,Other offences against persons,2,41-64,U,0,f,t,0.000000,
victims,2019,1.4,Other offences against persons,2,65+,M,21,f,t,0.039033,
victims,2019,1.4,Other offences against persons,2,65+,F,16,f,t,0.029740,
victims,2019,1.4,Other offences against persons,2,65+,U,0,f,t,0.000000,
victims,2019,1.4,Other offences against persons,2,U,M,2,f,f,0.003717,
victims,2019,1.4,Other offences against persons,2,U,F,1,f,f,0.001859,
victims,2019,1.4,Other offences against persons,2,U,U,1,f,f,0.001859,
victims,2019,2,Offences against personal liberty,1,0-13,M,150,f,f,0.009578,
victims,2019,2,Offences against personal liberty,1,0-13,F,157,f,f,0.010025,
victims,2019,2,Offences against personal liberty,1,0-13,U,0,f,f,0.000000,
victims,2019,2,Offences against personal liberty,1,14-17,M,342,f,t,0.021838,
victims,2019,2,Offences against personal liberty,1,14-17,F,344,f,t,0.021965,
victims,2019,2,Offences against personal liberty,1,14-17,U,0,f,t,0.000000,
victims,2019,2,Offences against personal liberty,1,18-30,M,1649,f,t,0.105293,
victims,2019,2,Offences against personal liberty,1,18-30,F,1942,f,t,0.124002,
victims,2019,2,Offences against personal liberty,1,18-30,U,2,f,t,0.000128,
victims,2019,2,Offences against personal liberty,1,31-40,M,1857,f,t,0.118575,
victims,2019,2,Offences against personal liberty,1,31-40,F,1878,f,t,0.119916,
victims,2019,2,Offences against personal liberty,1,31-40,U,2,f,t,0.000128,
victims,2019,2,Offences against personal liberty,1,41-64,M,3378,f,t,0.215695,
victims,2019,2,Offences against personal liberty,1,41-64,F,2906,f,t,0.185556,
victims,2019,2,Offences against personal liberty,1,41-64,U,17,f,t,0.001085,
victims,2019,2,Offences against personal liberty,1,65+,M,503,f,t,0.032118,
victims,2019,2,Offences against personal liberty,1,65+,F,434,f,t,0.027712,
victims,2019,2,Offences against personal liberty,1,65+,U,6,f,t,0.000383,
victims,2019,2,Offences against personal liberty,1,U,M,61,f,f,0.003895,
victims,2019,2,Offences against personal liberty,1,U,F,27,f,f,0.001724,
victims,2019,2,Offences against personal liberty,1,U,U,6,f,f,0.000383,
victims,2019,2.1,Habitual domestic abuse,2,0-13,M,24,f,f,0.019608,
victims,2019,2.1,Habitual domestic abuse,2,0-13,F,20,f,f,0.016340,
victims,2019,2.1,Habitual domestic abuse,2,0-13,U,0,f,f,0.000000,
victims,2019,2.1,Habitual domestic abuse,2,14-17,M,19,f,t,0.015523,
victims,2019,2.1,Habitual domestic abuse,2,14-17,F,37,f,t,0.030229,
victims,2019,2.1,Habitual domestic abuse,2,14-17,U,0,f,t,0.000000,
victims,2019,2.1,Habitual domestic abuse,2,18-30,M,39,f,t,0.031863,
victims,2019,2.1,Habitual domestic abuse,2,18-30,F,252,f,t,0.205882,
victims,2019,2.1,Habitual domestic abuse,2,18-30,U,1,f,t,0.000817,
victims,2019,2.1,Habitual domestic abuse,2,31-40,M,24,f,t,0.019608,
