ine_code,municipality_name,surface_km2
28166,VALVERDE DE ALCALA,13.526785
28167,VELILLA DE SAN ANTONIO,14.353756
28168,EL VELLON,34.143714
28169,VENTURADA,9.793381
28170,VILLACONEJOS,32.974111
28171,VILLA DEL PRADO,78.424336
28172,VILLALBILLA,34.4647
28173,VILLAMANRIQUE DE TAJO,29.323627
28174,VILLAMANTA,63.145076
28175,VILLAMANTILLA,23.992061
28176,VILLANUEVA DE LA CANADA,34.917263
28177,VILLANUEVA DEL PARDILLO,25.346904
28178,VILLANUEVA DE PERALES,31.181379000000003
28179,VILLAR DEL OLMO,27.621365
28180,VILLAREJO DE SALVANES,118.619263
28181,VILLAVICIOSA DE ODON,68.048636
28182,VILLAVIEJA DEL LOZOYA,23.289118
28183,ZARZALEJO,20.63274
28901,LOZOYUELA NAVAS SIETEIGLESIAS,51.284974000000005
28902,PUENTES VIEJAS,58.329561000000005
28903,TRES CANTOS,37.93348
