year,crime_code,age,sex,count
2019,5.2.1,14-17,F,2
2019,5.2.1,18-30,M,433
2019,5.2.1,18-30,F,19
2019,5.2.1,31-40,M,296
2019,5.2.1,31-40,F,24
2019,5.2.1,41-64,M,195
2019,5.2.1,41-64,F,9
2019,5.2.1,65+,M,8
2019,5.2.1,65+,F,0
2019,5.2.2,14-17,M,77
2019,5.2.2,14-17,F,7
2019,5.2.2,18-30,M,417
2019,5.2.2,18-30,F,64
2019,5.2.2,31-40,M,172
2019,5.2.2,31-40,F,22
2019,5.2.2,41-64,M,139
2019,5.2.2,41-64,F,24
2019,5.2.2,65+,M,7
2019,5.2.2,65+,F,1
2019,5.2.3,14-17,M,98
2019,5.2.3,14-17,F,2
2019,5.2.3,18-30,M,378
2019,5.2.3,18-30,F,20
2019,5.2.3,31-40,M,276
2019,5.2.3,31-40,F,26
2019,5.2.3,41-64,M,125
2019,5.2.3,41-64,F,8
2019,5.2.3,65+,M,3
2019,5.2.3,65+,F,0
2019,5.3,14-17,M,1148
2019,5.3,14-17,F,107
2019,5.3,18-30,M,1540
2019,5.3,18-30,F,175
2019,5.3,31-40,M,480
2019,5.3,31-40,F,74
2019,5.3,41-64,M,372
2019,5.3,41-64,F,57
2019,5.3,65+,M,11
2019,5.3,65+,F,1
2019,5.3.1,14-17,M,842
2019,5.3.1,14-17,F,87
2019,5.3.1,18-30,M,1082
2019,5.3.1,18-30,F,95
2019,5.3.1,31-40,M,268
2019,5.3.1,31-40,F,31
2019,5.3.1,41-64,M,182
2019,5.3.1,41-64,F,20
2019,5.3.1,65+,M,2
2019,5.3.1,65+,F,0
2019,5.3.2,14-17,M,9
2019,5.3.2,14-17,F,0
2019,5.3.2,18-30,M,50
2019,5.3.2,18-30,F,13
2019,5.3.2,31-40,M,31
2019,5.3.2,31-40,F,5
2019,5.3.2,41-64,M,18
2019,5.3.2,41-64,F,2
2019,5.3.2,65+,M,1
2019,5.3.2,65+,F,0
2019,5.3.3,14-17,M,91
2019,5.3.3,14-17,F,8
2019,5.3.3,18-30,M,227
2019,5.3.3,18-30,F,51
2019,5.3.3,31-40,M,144
2019,5.3.3,31-40,F,32
2019,5.3.3,41-64,M,142
2019,5.3.3,41-64,F,29
2019,5.3.3,65+,M,8
2019,5.3.3,65+,F,1
2019,5.4,14-17,M,84
2019,5.4,14-17,F,0
2019,5.4,18-30,M,220
2019,5.4,18-30,F,21
2019,5.4,31-40,M,177
2019,5.4,31-40,F,16
2019,5.4,41-64,M,165
2019,5.4,41-64,F,17
2019,5.4,65+,M,4
2019,5.4,65+,F,0
2019,5.5,14-17,M,26
2019,5.5,14-17,F,9
2019,5.5,18-30,M,719
2019,5.5,18-30,F,304
2019,5.5,31-40,M,483
2019,5.5,31-40,F,173
2019,5.5,41-64,M,535
2019,5.5,41-64,F,223
2019,5.5,65+,M,47
2019,5.5,65+,F,16
2019,5.5.1,14-17,M,4
2019,5.5.1,14-17,F,0
2019,5.5.1,18-30,M,262
2019,5.5.1,18-30,F,116
2019,5.5.1,31-40,M,131
2019,5.5.1,31-40,F,36
2019,5.5.1,41-64,M,100
2019,5.5.1,41-64,F,53
2019,5.5.1,65+,M,12
2019,5.5.1,65+,F,2
2019,5.6,14-17,M,125
2019,5.6,14-17,F,8
2019,5.6,18-30,M,410
2019,5.6,18-30,F,45
2019,5.6,31-40,M,157
2019,5.6,31-40,F,33
2019,5.6,41-64,M,175
2019,5.6,41-64,F,38
2019,5.6,65+,M,22
2019,5.6,65+,F,6
2019,5.7,14-17,M,1
2019,5.7,14-17,F,0
2019,5.7,18-30,M,23
2019,5.7,18-30,F,6
2019,5.7,31-40,M,60
2019,5.7,31-40,F,8
2019,5.7,41-64,M,63
2019,5.7,41-64,F,4
2019,5.7,65+,M,2
2019,5.7,65+,F,0
2019,5.8,14-17,M,0
2019,5.8,14-17,F,0
2019,5.8,18-30,M,5
2019,5.8,18-30,F,6
2019,5.8,31-40,M,10
2019,5.8,31-40,F,5
2019,5.8,41-64,M,31
2019,5.8,41-64,F,10
2019,5.8,65+,M,2
2019,5.8,65+,F,2
2019,5.9,14-17,M,80
2019,5.9,14-17,F,14
2019,5.9,18-30,M,600
2019,5.9,18-30,F,226
2019,5.9,31-40,M,347
2019,5.9,31-40,F,131
2019,5.9,41-64,M,336
2019,5.9,41-64,F,136
2019,5.9,65+,M,33
2019,5.9,65+,F,7
2019,6,14-17,M,198
2019,6,14-17,F,17
2019,6,18-30,M,2437
2019,6,18-30,F,282
2019,6,31-40,M,1880
2019,6,31-40,F,187
2019,6,41-64,M,2009
2019,6,41-64,F,219
2019,6,65+,M,82
2019,6,65+,F,12
2019,6.1,14-17,M,125
2019,6.1,14-17,F,14
2019,6.1,18-30,M,1177
2019,6.1,18-30,F,139
2019,6.1,31-40,M,655
2019,6.1,31-40,F,82
2019,6.1,41-64,M,620
2019,6.1,41-64,F,97
2019,6.1,65+,M,30
2019,6.1,65+,F,6
2019,6.2,14-17,M,47
2019,6.2,14-17,F,2
2019,6.2,18-30,M,1194
2019,6.2,18-30,F,130
2019,6.2,31-40,M,1193
2019,6.2,31-40,F,99
2019,6.2,41-64,M,1349
2019,6.2,41-64,F,109
2019,6.2,65+,M,50
2019,6.2,65+,F,6
2019,6.3,14-17,M,26
2019,6.3,14-17,F,1
2019,6.3,18-30,M,66
2019,6.3,18-30,F,13
2019,6.3,31-40,M,32
2019,6.3,31-40,F,6
2019,6.3,41-64,M,40
2019,6.3,41-64,F,13
2019,6.3,65+,M,2
2019,6.3,65+,F,0
2019,7,14-17,M,23
2019,7,14-17,F,9
2019,7,18-30,M,573
2019,7,18-30,F,194
2019,7,31-40,M,438
2019,7,31-40,F,140
2019,7,41-64,M,356
2019,7,41-64,F,128
2019,7,65+,M,18
2019,7,65+,F,10
2019,8,14-17,M,0
2019,8,14-17,F,0
2019,8,18-30,M,3
2019,8,18-30,F,0
2019,8,31-40,M,7
2019,8,31-40,F,1
2019,8,41-64,M,38
2019,8,41-64,F,9
2019,8,65+,M,9
2019,8,65+,F,4
2019,9,14-17,M,26
2019,9,14-17,F,3
2019,9,18-30,M,857
2019,9,18-30,F,144
2019,9,31-40,M,837
2019,9,31-40,F,109
2019,9,41-64,M,985
2019,9,41-64,F,145
2019,9,65+,M,58
2019,9,65+,F,12
2019,10,14-17,M,206
2019,10,14-17,F,39
2019,10,18-30,M,1431
2019,10,18-30,F,221
2019,10,31-40,M,724
2019,10,31-40,F,180
2019,10,41-64,M,678
2019,10,41-64,F,181
2019,10,65+,M,35
2019,10,65+,F,8
2019,11,14-17,M,0
2019,11,14-17,F,0
2019,11,18-30,M,8
2019,11,18-30,F,3
2019,11,31-40,M,5
2019,11,31-40,F,1
2019,11,41-64,M,13
2019,11,41-64,F,2
2019,11,65+,M,4
2019,11,65+,F,0
2019,12,14-17,M,5
2019,12,14-17,F,1
2019,12,18-30,M,78
2019,12,18-30,F,13
2019,12,31-40,M,125
2019,12,31-40,F,28
2019,12,41-64,M,239
2019,12,41-64,F,69
2019,12,65+,M,37
2019,12,65+,F,8
2019,TOTAL,14-17,M,4208
2019,TOTAL,14-17,F,900
2019,TOTAL,18-30,M,21120
2019,TOTAL,18-30,F,5773
2019,TOTAL,31-40,M,15273
2019,TOTAL,31-40,F,3812
2019,TOTAL,41-64,M,15771
2019,TOTAL,41-64,F,4184
2019,TOTAL,65+,M,1227
2019,TOTAL,65+,F,385
2020,1,14-17,M,626
2020,1,14-17,F,173
2020,1,18-30,M,4197
2020,1,18-30,F,894
2020,1,31-40,M,3556
2020,1,31-40,F,734
2020,1,41-64,M,4361
2020,1,41-64,F,724
2020,1,65+,M,308
2020,1,65+,F,34
2020,1.1,14-17,M,17
2020,1.1,14-17,F,3
2020,1.1,18-30,M,62
2020,1.1,18-30,F,6
2020,1.1,31-40,M,26
2020,1.1,31-40,F,3
2020,1.1,41-64,M,36
2020,1.1,41-64,F,4
2020,1.1,65+,M,5
2020,1.1,65+,F,0
2020,1.1.1,14-17,M,9
2020,1.1.1,14-17,F,1
2020,1.1.1,18-30,M,25
2020,1.1.1,18-30,F,2
2020,1.1.1,31-40,M,3
2020,1.1.1,31-40,F,2
2020,1.1.1,41-64,M,12
2020,1.1.1,41-64,F,2
2020,1.1.1,65+,M,2
2020,1.1.1,65+,F,0
2020,1.2,14-17,M,239
2020,1.2,14-17,F,54
2020,1.2,18-30,M,982
2020,1.2,18-30,F,148
2020,1.2,31-40,M,559
2020,1.2,31-40,F,121
2020,1.2,41-64,M,637
2020,1.2,41-64,F,128
2020,1.2,65+,M,53
2020,1.2,65+,F,11
2020,1.3,14-17,M,290
2020,1.3,14-17,F,107
2020,1.3,18-30,M,2918
2020,1.3,18-30,F,711
2020,1.3,31-40,M,2909
2020,1.3,31-40,F,596
2020,1.3,41-64,M,3633
2020,1.3,41-64,F,575
2020,1.3,65+,M,245
2020,1.3,65+,F,21
2020,1.4,14-17,M,80
2020,1.4,14-17,F,9
2020,1.4,18-30,M,235
2020,1.4,18-30,F,29
2020,1.4,31-40,M,62
2020,1.4,31-40,F,14
2020,1.4,41-64,M,55
2020,1.4,41-64,F,17
2020,1.4,65+,M,5
2020,1.4,65+,F,2
2020,2,14-17,M,210
2020,2,14-17,F,67
2020,2,18-30,M,1069
2020,2,18-30,F,199
2020,2,31-40,M,1011
2020,2,31-40,F,218
2020,2,41-64,M,1461
2020,2,41-64,F,309
2020,2,65+,M,133
2020,2,65+,F,37
2020,2.1,14-17,M,20
